name,enginesize,horsepower,curbweight,carwidth,highwaympg,citympg,price
alfa-romero giulia,130,111,2548,64.1,27,21,13495.0
alfa-romero stelvio,130,111,2548,64.1,27,21,16500.0
alfa-romero Quadrifoglio,152,154,2823,65.5,26,19,16500.0
audi 100 ls,109,102,2337,66.2,30,24,13950.0
audi 100ls,136,115,2824,66.4,22,18,17450.0
audi fox,136,110,2507,66.3,25,19,15250.0
audi 5000s (diesel),131,160,3053,67.9,22,16,17859.167
bmw 320i,108,101,2395,64.8,29,23,16430.0
bmw 320i,108,101,2395,64.8,29,23,16925.0
bmw x1,164,121,2710,64.8,28,21,20970.0
bmw x3,164,121,2765,64.8,28,21,21105.0
bmw z4,164,121,3055,66.9,25,20,24565.0
chevrolet monte carlo,90,70,1874,63.6,43,38,6295.0
chevrolet vega 2300,90,70,1909,63.6,43,38,6575.0
dodge rampage,90,68,1876,63.8,41,37,5572.0
dodge challenger se,90,68,1876,63.8,38,31,6377.0
dodge d200,98,102,2128,63.8,30,24,7957.0
dodge monaco (sw),90,68,1967,63.8,38,31,6229.0
dodge colt hardtop,90,68,1989,63.8,38,31,6692.0
dodge colt (sw),90,68,1989,63.8,38,31,7609.0
dodge coronet custom,98,102,2191,63.8,30,24,8558.0
dodge dart custom,122,88,2535,64.6,30,24,8921.0
dodge coronet custom (sw),156,145,2811,66.3,24,19,12964.0
honda civic cvcc,92,76,1819,63.9,38,31,6855.0
honda civic,79,60,1837,64.0,42,38,5399.0
honda accord cvcc,92,76,1940,64.0,34,30,6529.0
honda civic cvcc,92,76,1956,64.0,34,30,7129.0
honda accord lx,92,76,2010,64.0,34,30,7295.0
honda civic 1500 gl,92,76,2024,63.9,34,30,7295.0
honda accord,110,86,2236,65.2,33,27,7895.0
honda civic 1300,110,86,2289,65.2,33,27,9095.0
honda prelude,110,86,2304,65.2,33,27,8845.0
honda accord,110,86,2372,62.5,33,27,10295.0
honda civic,110,101,2465,65.2,28,24,12945.0
honda civic (auto),110,100,2293,66.0,31,25,10345.0
isuzu MU-X,111,78,2337,61.8,29,24,6785.0
isuzu D-Max ,90,70,1874,63.6,43,38,8916.5
isuzu D-Max V-Cross,90,70,1909,63.6,43,38,8916.5
isuzu D-Max ,119,90,2734,65.2,29,24,11048.0
maxda rx3,91,68,1890,64.2,31,30,5195.0
maxda glc deluxe,91,68,1900,64.2,38,31,6095.0
mazda rx2 coupe,91,68,1905,64.2,38,31,6795.0
mazda rx-4,91,68,1945,64.2,38,31,6695.0
mazda glc deluxe,91,68,1950,64.2,38,31,7395.0
mazda 626,70,101,2380,65.7,23,17,10945.0
mazda glc,70,101,2380,65.7,23,17,11845.0
mazda rx-7 gs,70,101,2385,65.7,23,17,13645.0
mazda glc 4,80,135,2500,65.7,23,16,15645.0
mazda 626,122,84,2385,66.5,32,26,8845.0
mazda glc custom l,122,84,2410,66.5,32,26,8495.0
mazda glc custom,122,84,2385,66.5,32,26,10595.0
mazda rx-4,122,84,2410,66.5,32,26,10245.0
mazda glc deluxe,122,64,2443,66.5,42,36,10795.0
mazda 626,122,84,2425,66.5,32,26,11245.0
mazda glc,140,120,2670,66.1,27,19,18280.0
mazda rx-7 gs,134,72,2700,66.1,39,31,18344.0
buick electra 225 custom,183,123,3515,70.3,25,22,25552.0
buick century luxus (sw),183,123,3750,70.3,25,22,28248.0
buick century,183,123,3495,70.3,25,22,28176.0
mercury cougar,140,175,2910,68.0,24,19,16503.0
mitsubishi mirage,92,68,1918,64.4,41,37,5389.0
mitsubishi lancer,92,68,1944,64.4,38,31,6189.0
mitsubishi outlander,92,68,2004,64.4,38,31,6669.0
mitsubishi g4,98,102,2145,63.8,30,24,7689.0
mitsubishi mirage g4,110,116,2370,65.4,30,23,9959.0
mitsubishi g4,122,88,2328,65.4,32,25,8499.0
mitsubishi outlander,156,145,2833,66.3,24,19,12629.0
mitsubishi g4,156,145,2921,66.3,24,19,14869.0
mitsubishi mirage g4,156,145,2926,66.3,24,19,14489.0
mitsubishi montero,122,88,2365,65.4,32,25,6989.0
mitsubishi pajero,122,88,2405,65.4,32,25,8189.0
mitsubishi outlander,110,116,2403,65.4,30,23,9279.0
mitsubishi mirage g4,110,116,2403,65.4,30,23,9279.0
Nissan versa,97,69,1889,63.8,37,31,5499.0
nissan rogue,97,69,1918,63.8,37,31,6649.0
nissan latio,97,69,1938,63.8,37,31,6849.0
nissan titan,97,69,2024,63.8,37,31,7349.0
nissan leaf,97,69,1951,63.8,37,31,7299.0
nissan juke,97,69,2028,63.8,37,31,7799.0
nissan latio,97,69,1971,63.8,37,31,7499.0
nissan note,97,69,2037,63.8,37,31,7999.0
nissan clipper,97,69,2008,63.8,37,31,8249.0
nissan rogue,120,97,2324,65.2,34,27,8949.0
nissan nv200,120,97,2302,65.2,34,27,9549.0
nissan dayz,181,152,3095,66.5,22,17,13499.0
nissan fuga,181,152,3296,66.5,22,17,14399.0
nissan otti,181,152,3060,66.5,25,19,13499.0
nissan teana,181,160,3071,67.9,25,19,17199.0
nissan clipper,181,160,3139,67.9,25,19,18399.0
peugeot 504,120,97,3020,68.4,24,19,11900.0
peugeot 304,152,95,3197,68.4,33,28,13200.0
peugeot 504 (sw),120,97,3230,68.4,24,19,12440.0
peugeot 504,152,95,3430,68.4,25,25,13860.0
peugeot 504,120,95,3075,68.4,24,19,15580.0
peugeot 604sl,152,95,3252,68.4,33,28,16900.0
peugeot 504,120,95,3285,68.4,24,19,16695.0
peugeot 505s turbo diesel,152,95,3485,68.4,25,25,17075.0
peugeot 504,120,97,3075,68.4,24,19,16630.0
peugeot 504,152,95,3252,68.4,33,28,17950.0
peugeot 604sl,134,142,3130,68.3,24,18,18150.0
plymouth fury iii,90,68,1918,63.8,41,37,5572.0
plymouth cricket,98,102,2128,63.8,30,24,7957.0
plymouth fury iii,90,68,1967,63.8,38,31,6229.0
plymouth satellite custom (sw),90,68,1989,63.8,38,31,6692.0
plymouth fury gran sedan,98,68,2191,63.8,38,31,7609.0
plymouth valiant,122,88,2535,64.6,30,24,8921.0
plymouth duster,156,145,2818,66.3,24,19,12764.0
porsche macan,151,143,2778,68.3,27,19,22018.0
renault 12tl,132,90,2579,66.5,31,23,9295.0
renault 5 gtl,132,90,2460,66.6,31,23,9895.0
saab 99e,121,110,2658,66.5,28,21,11850.0
saab 99le,121,110,2695,66.5,28,21,12170.0
saab 99le,121,110,2707,66.5,28,21,15040.0
saab 99gle,121,110,2758,66.5,28,21,15510.0
saab 99gle,121,160,2808,66.5,26,19,18150.0
saab 99e,121,160,2847,66.5,26,19,18620.0
subaru,97,69,2050,63.4,36,31,5118.0
subaru dl,108,73,2120,63.6,31,26,7053.0
subaru dl,108,73,2240,63.8,31,26,7603.0
subaru,108,82,2145,65.4,37,32,7126.0
subaru brz,108,82,2190,65.4,33,28,7775.0
subaru baja,108,94,2340,65.4,32,26,9960.0
subaru r1,108,82,2385,65.4,25,24,9233.0
subaru r2,108,111,2510,65.4,29,24,11259.0
subaru trezia,108,82,2290,65.4,32,28,7463.0
subaru tribeca,108,94,2455,65.4,31,25,10198.0
subaru dl,108,82,2420,65.4,29,23,8013.0
subaru dl,108,111,2650,65.4,23,23,11694.0
toyota corona mark ii,92,62,1985,63.6,39,35,5348.0
toyota corona,92,62,2040,63.6,38,31,6338.0
toyota corolla 1200,92,62,2015,63.6,38,31,6488.0
toyota corona hardtop,92,62,2280,63.6,37,31,6918.0
toyota corolla 1600 (sw),92,62,2290,63.6,32,27,7898.0
toyota carina,92,62,3110,63.6,32,27,8778.0
toyota mark ii,98,70,2081,64.4,37,30,6938.0
toyota corolla 1200,98,70,2109,64.4,37,30,7198.0
toyota corona,110,56,2275,64.4,36,34,7898.0
toyota corolla,110,56,2275,64.4,47,38,7788.0
toyota corona,98,70,2094,64.4,47,38,7738.0
toyota corolla,98,70,2122,64.4,34,28,8358.0
toyota mark ii,98,70,2140,64.4,34,28,9258.0
toyota corolla liftback,98,70,2169,64.0,34,29,8058.0
toyota corona,98,70,2204,64.0,34,29,8238.0
toyota celica gt liftback,98,112,2265,64.0,29,26,9298.0
toyota corolla tercel,98,112,2300,64.0,29,26,9538.0
toyota corona liftback,146,116,2540,65.6,30,24,8449.0
toyota corolla,146,116,2536,65.6,30,24,9639.0
toyota starlet,146,116,2551,65.6,30,24,9989.0
toyota tercel,146,116,2679,65.6,30,24,11199.0
toyota corolla,146,116,2714,65.6,30,24,11549.0
toyota cressida,146,116,2975,65.6,30,24,17669.0
toyota corolla,122,92,2326,66.5,34,29,8948.0
toyota celica gt,110,73,2480,66.5,33,30,10698.0
toyota corona,122,92,2414,66.5,32,27,9988.0
toyota corolla,122,92,2414,66.5,32,27,10898.0
toyota mark ii,122,92,2458,66.5,32,27,11248.0
toyota corolla liftback,171,161,2976,67.7,24,20,16558.0
toyota corona,171,161,3016,67.7,24,19,15998.0
toyota starlet,171,156,3131,66.5,24,20,15690.0
toyouta tercel,161,156,3151,66.5,24,19,15750.0
vokswagen rabbit,97,52,2261,65.5,46,37,7775.0
volkswagen 1131 deluxe sedan,109,85,2209,65.5,34,27,7975.0
volkswagen model 111,97,52,2264,65.5,46,37,7995.0
volkswagen type 3,109,85,2212,65.5,34,27,8195.0
volkswagen 411 (sw),109,85,2275,65.5,34,27,8495.0
volkswagen super beetle,97,68,2319,65.5,42,37,9495.0
volkswagen dasher,109,100,2300,65.5,32,26,9995.0
vw dasher,109,90,2254,64.2,29,24,11595.0
vw rabbit,109,90,2221,64.0,29,24,9980.0
volkswagen rabbit,136,110,2661,66.9,24,19,13295.0
volkswagen rabbit custom,97,68,2579,66.9,38,33,13845.0
volkswagen dasher,109,88,2563,66.9,31,25,12290.0
volvo 145e (sw),141,114,2912,67.2,28,23,12940.0
volvo 144ea,141,114,3034,67.2,28,23,13415.0
volvo 244dl,141,114,2935,67.2,28,24,15985.0
volvo 245,141,114,3042,67.2,28,24,16515.0
volvo 264gl,130,162,3045,67.2,22,17,18420.0
volvo diesel,130,162,3157,67.2,22,17,18950.0
volvo 145e (sw),141,114,2952,68.9,28,23,16845.0
volvo 144ea,141,160,3049,68.8,25,19,19045.0
volvo 244dl,173,134,3012,68.9,23,18,21485.0
volvo 246,145,106,3217,68.9,27,26,22470.0
volvo 264gl,141,114,3062,68.9,25,19,22625.0
